levels;alpha_beta;method;trial;turns;outcome;real_time;date;time
2;1;simple;8;22;black_won;0.27227163314819336;2022-05-19;00:26:48.747904
2;1;simple;9;68;draw;4.583742380142212;2022-05-19;00:26:49.022170
2;1;simple;10;22;black_won;0.25531721115112305;2022-05-19;00:26:53.607907
2;1;simple;11;22;black_won;0.2603037357330322;2022-05-19;00:26:53.864222
2;1;simple;12;94;draw;1.954773187637329;2022-05-19;00:26:54.125523
2;1;simple;13;43;whites_won;0.35205864906311035;2022-05-19;00:26:56.083288
2;1;simple;14;57;whites_won;0.36602091789245605;2022-05-19;00:26:56.436344
2;1;simple;15;29;whites_won;0.20046424865722656;2022-05-19;00:26:56.803362
2;1;simple;16;43;whites_won;0.3480691909790039;2022-05-19;00:26:57.005821
2;1;simple;17;64;draw;4.201764345169067;2022-05-19;00:26:57.354887
2;1;simple;18;57;whites_won;0.4557812213897705;2022-05-19;00:27:01.558646
2;1;simple;19;31;whites_won;0.28523755073547363;2022-05-19;00:27:02.015424
2;1;simple;20;57;whites_won;0.4557812213897705;2022-05-19;00:27:02.301659
2;1;simple;21;41;whites_won;0.2622983455657959;2022-05-19;00:27:02.759435
2;1;simple;22;68;draw;4.079091787338257;2022-05-19;00:27:03.023728
2;1;simple;23;68;draw;4.259457111358643;2022-05-19;00:27:07.104814
2;1;simple;24;68;draw;4.342729568481445;2022-05-19;00:27:11.364271
2;1;simple;25;64;draw;4.140220642089844;2022-05-19;00:27:15.707001
2;1;simple;26;31;whites_won;0.2962076663970947;2022-05-19;00:27:19.850213
2;1;simple;27;31;whites_won;0.34407949447631836;2022-05-19;00:27:20.148416
2;1;simple;28;57;whites_won;0.49268221855163574;2022-05-19;00:27:20.494491
2;1;simple;29;31;whites_won;0.30817580223083496;2022-05-19;00:27:20.989168
2;1;simple;30;88;draw;1.6106929779052734;2022-05-19;00:27:21.299338
2;1;simple;31;75;draw;1.6615567207336426;2022-05-19;00:27:22.912026
2;1;simple;32;43;whites_won;0.34906697273254395;2022-05-19;00:27:24.575577
2;1;simple;33;68;draw;4.143869161605835;2022-05-19;00:27:24.926639
2;1;simple;34;68;draw;4.5898683071136475;2022-05-19;00:27:29.070508
2;1;simple;35;35;whites_won;0.2712748050689697;2022-05-19;00:27:33.663368
2;1;simple;36;94;draw;2.0056369304656982;2022-05-19;00:27:33.936638
2;1;simple;37;41;whites_won;0.26329588890075684;2022-05-19;00:27:35.945266
2;1;simple;38;57;whites_won;0.4478027820587158;2022-05-19;00:27:36.210557
2;1;simple;39;57;whites_won;0.4448106288909912;2022-05-19;00:27:36.660354
2;1;simple;40;30;black_won;0.2782566547393799;2022-05-19;00:27:37.106162
2;1;simple;41;74;draw;1.5019831657409668;2022-05-19;00:27:37.385415
2;1;simple;42;74;draw;3.2443244457244873;2022-05-19;00:27:38.890391
2;1;simple;43;22;black_won;0.3281230926513672;2022-05-19;00:27:42.137706
